"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 16, 2014","2,296.56","2,341.03","2,347.93","2,293.87","30.27B","-1.82%"
"Sep 15, 2014","2,339.14","2,330.19","2,340.45","2,321.59","21.51B","0.31%"
"Sep 12, 2014","2,331.95","2,308.35","2,331.95","2,302.77","19.35B","0.88%"
"Sep 11, 2014","2,311.68","2,315.73","2,343.59","2,304.60","22.22B","-0.29%"
"Sep 10, 2014","2,318.31","2,318.50","2,321.91","2,306.42","18.98B","-0.35%"
"Sep 09, 2014","2,326.53","2,328.43","2,331.92","2,315.89","19.70B","0.00%"
"Sep 05, 2014","2,326.43","2,311.30","2,327.56","2,307.45","21.32B","0.85%"
"Sep 04, 2014","2,306.86","2,290.03","2,307.70","2,283.28","19.95B","0.80%"
"Sep 03, 2014","2,288.63","2,268.39","2,290.55","2,268.10","21.25B","1.00%"
"Sep 02, 2014","2,266.05","2,239.68","2,267.51","2,234.38","19.21B","1.37%"
"Sep 01, 2014","2,235.51","2,220.13","2,236.29","2,217.68","12.92B","0.83%"
"Aug 29, 2014","2,217.20","2,198.95","2,218.70","2,193.26","10.52B","0.97%"
