"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 16, 2014","3,221.73","3,229.17","3,229.17","3,206.71","42.73M","-0.31%"
"Sep 15, 2014","3,231.70","3,228.67","3,239.76","3,219.80","36.63M","-0.10%"
"Sep 12, 2014","3,235.07","3,243.27","3,245.07","3,221.19","35.53M","-0.08%"
"Sep 11, 2014","3,237.76","3,252.39","3,255.12","3,216.27","45.40M","-0.20%"
"Sep 10, 2014","3,244.16","3,241.34","3,248.02","3,225.68","43.23M","-0.04%"
"Sep 09, 2014","3,245.43","3,260.34","3,268.24","3,242.07","38.58M","-0.68%"
"Sep 08, 2014","3,267.54","3,276.20","3,278.56","3,255.32","36.11M","-0.24%"
"Sep 05, 2014","3,275.25","3,275.66","3,284.83","3,258.59","63.19M","-0.06%"
"Sep 04, 2014","3,277.25","3,209.10","3,286.59","3,201.44","100.38M","1.81%"
"Sep 03, 2014","3,218.84","3,190.74","3,233.99","3,190.74","62.19M","1.21%"
"Sep 02, 2014","3,180.29","3,180.89","3,198.77","3,174.88","36.46M","0.17%"
"Sep 01, 2014","3,175.05","3,175.56","3,182.00","3,158.27","27.38M","0.08%"
"Aug 29, 2014","3,172.63","3,171.70","3,186.16","3,139.10","39.08M","0.26%"
