"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 03, 2014","17,009.69","16,802.20","17,027.84","16,802.20","87.94M","1.24%"
"Oct 02, 2014","16,801.05","16,808.27","16,857.25","16,674.04","75.49M","-0.02%"
"Oct 01, 2014","16,804.71","17,040.46","17,041.16","16,776.13","104.24M","-1.40%"
"Sep 30, 2014","17,042.90","17,070.45","17,145.10","17,017.11","102.29M","-0.17%"
"Sep 29, 2014","17,071.22","17,107.69","17,107.69","16,934.43","70.22M","-0.25%"
"Sep 26, 2014","17,113.15","16,948.62","17,148.15","16,948.11","74.67M","0.99%"
"Sep 25, 2014","16,945.80","17,204.86","17,204.86","16,945.80","93.52M","-1.54%"
"Sep 24, 2014","17,210.06","17,056.64","17,226.60","17,033.93","80.53M","0.90%"
"Sep 23, 2014","17,055.87","17,165.91","17,171.88","17,055.87","77.09M","-0.68%"
"Sep 22, 2014","17,172.68","17,271.71","17,277.88","17,159.36","74.30M","-0.62%"
"Sep 19, 2014","17,279.74","17,267.21","17,350.64","17,257.46","349.62M","0.08%"
"Sep 18, 2014","17,265.99","17,163.73","17,275.37","17,163.73","85.30M","0.64%"
"Sep 17, 2014","17,156.85","17,131.01","17,221.11","17,089.01","87.81M","0.15%"
"Sep 16, 2014","17,131.97","17,027.16","17,167.05","16,985.55","73.20M","0.59%"
"Sep 15, 2014","17,031.14","16,988.76","17,051.85","16,951.38","71.74M","0.26%"
"Sep 12, 2014","16,987.51","17,044.05","17,044.05","16,937.67","82.83M","-0.36%"
"Sep 11, 2014","17,049.00","17,057.41","17,057.41","16,983.88","63.65M","-0.12%"
"Sep 10, 2014","17,068.71","17,016.05","17,080.27","16,974.57","76.78M","0.32%"
"Sep 09, 2014","17,013.87","17,110.39","17,111.55","16,993.29","69.03M","-0.57%"
"Sep 08, 2014","17,111.42","17,131.71","17,137.88","17,079.17","65.64M","-0.15%"
"Sep 05, 2014","17,137.36","17,065.89","17,137.36","17,009.62","76.63M","0.40%"
"Sep 04, 2014","17,069.58","17,083.61","17,161.55","17,030.12","68.12M","-0.05%"
"Sep 03, 2014","17,078.28","17,067.24","17,151.89","17,060.21","62.77M","0.06%"
"Sep 02, 2014","17,067.56","17,097.42","17,113.51","17,009.07","64.82M","-0.18%"
"Aug 29, 2014","17,098.45","17,083.42","17,110.42","17,035.38","81.50M","0.11%"
